city,state,latitude,longitude
Albert Lea,MN,43.6548,-93.3643
Alberta,VA,36.8552,-77.8937
Alberton,MT,47.0037,-114.4817
Albertson,NC,35.1176,-77.8515
Albertson,NY,40.7715,-73.6482
Albertville,AL,34.2633,-86.2108
Albertville,MN,45.2364,-93.6618
Albia,IA,41.0268,-92.8038
Albion,CA,39.2256,-123.7564
Albion,IA,42.1125,-92.9886
Albion,ID,42.4098,-113.5806
Albion,IL,38.3766,-88.0580
Albion,IN,41.3966,-85.4187
Albion,ME,44.5355,-69.4683
Albion,MI,42.2478,-84.7572
Albion,NE,41.6873,-97.9989
Albion,PA,41.8904,-80.3641
Alborn,MN,46.9782,-92.5579
Albright,WV,39.4937,-79.6399
Albuquerque,NM,35.1054,-106.6465
Alburgh,VT,44.6031,-72.9527
Alburnett,IA,42.1488,-91.6205
Alburtis,PA,40.5090,-75.6001
Alcester,SD,43.0278,-96.6268
Alcoa,TN,35.8076,-83.9753
Alcolu,SC,33.7547,-80.2221
Alcova,WY,42.5543,-106.7263
Alda,NE,40.8666,-98.4680
Alden,IA,42.5115,-93.3805
Alden,MI,44.8792,-85.2729
Alden,MN,43.6695,-93.5735
Alderson,WV,37.7277,-80.6436
Aldie,VA,38.9761,-77.6450
Aledo,IL,41.1990,-90.7459
Aledo,TX,32.6974,-97.6069
Alex,OK,34.9228,-97.7763
Alexander,AR,34.6185,-92.4512
Alexander,IA,42.8044,-93.4786
Alexander,IL,39.7218,-90.0368
Alexander,NC,35.7064,-82.6311
Alexander,NY,42.9159,-78.2589
Alexander City,AL,32.9229,-85.9358
Alexandria,AL,33.7675,-85.8792
Alexandria,IN,40.2630,-85.6737
Alexandria,KY,38.9621,-84.3859
Alexandria,LA,31.2923,-92.4702
Alexandria,MN,45.8776,-95.3767
Alexandria,NE,40.2475,-97.3878
Alexandria,OH,40.0900,-82.6118
Alexandria,PA,40.5583,-78.0997
Alexandria,TN,36.0791,-86.0382
Alexandria,VA,38.8185,-77.0861
Alexandria Bay,NY,44.3400,-75.9161
Alexis,IL,41.0630,-90.5555
Alexis,NC,35.3968,-81.1190
Alford,FL,30.6967,-85.3953
Alfred,ME,43.4875,-70.6961
Alfred,NY,42.2534,-77.7893
Alfred Station,NY,42.2558,-77.7781
Alger,MI,44.1395,-84.1872
Alger,OH,40.7096,-83.8441
Algodones,NM,35.3804,-106.4731
Algoma,MS,34.1788,-89.0336
Algoma,WI,44.6058,-87.4465
Algona,IA,43.0743,-94.2311
Algona,WA,47.2820,-122.2504
Algonac,MI,42.6207,-82.5339
Algonquin,IL,42.1629,-88.3159
Algood,TN,36.2000,-85.4468
Alhambra,CA,34.0840,-118.1355
Alhambra,IL,38.8878,-89.7362
Alice,TX,27.7556,-98.0653
Aliceville,AL,33.1237,-88.1593
Aline,OK,36.5097,-98.4485
Aliquippa,PA,40.6155,-80.2547
Aliso Viejo,CA,33.5792,-117.7289
Alkol,WV,38.1609,-81.984
Allardt,TN,36.3811,-84.8814
Allegan,MI,42.5299,-85.8462
Alleman,IA,41.8149,-93.6092
Allen,KY,37.6119,-82.7291
Allen,MI,41.9581,-84.7680
Allen,NE,42.4144,-96.8431
Allen,OK,34.8776,-96.4129
Allen,TX,33.1088,-96.6735
Allen Park,MI,42.2595,-83.2107
Allendale,IL,38.5276,-87.7103
Allendale,MI,42.9845,-85.9499
Allendale,NJ,41.0332,-74.1333
Allendale,SC,33.0080,-81.3092
Allenhurst,GA,31.7839,-81.6078
Allenhurst,NJ,40.2362,-74.0017
Allenspark,CO,40.2099,-105.5112
Allensville,KY,36.7163,-87.0683
Allensville,PA,40.5330,-77.8142
Allenton,MI,42.9388,-82.9198
Allentown,GA,32.5855,-83.2273
Allentown,NJ,40.1778,-74.5873
Allentown,PA,40.5961,-75.4756
Allenwood,NJ,40.1384,-74.1032
Allerton,IA,40.7077,-93.3692
Alleyton,TX,29.7092,-96.4865
Allgood,AL,33.9064,-86.5178
Alliance,NC,35.1434,-76.8084
Alliance,NE,42.1025,-102.8766
Alliance,OH,40.9107,-81.1189
Alligator,MS,34.0899,-90.7206
Allison,IA,42.7520,-92.7957
Allons,TN,36.497,-85.3197
Allouez,WI,44.4721,-88.0259
Alloway,NJ,39.5591,-75.3506
Allyn,WA,47.3863,-122.8386
Alma,AR,35.4919,-94.2165
Alma,CO,39.2860,-106.0672
Alma,GA,31.5432,-82.4745
Alma,IL,38.7229,-88.9118
Alma,KS,39.0152,-96.2871
Alma,MI,43.3799,-84.6556
Alma,MO,39.0964,-93.5478
Alma,NE,40.1036,-99.3657
Alma,WI,44.3374,-91.9221
Alma,WV,39.4506,-80.8701
Alma Center,WI,44.4370,-90.9128
Almena,KS,39.8913,-99.7097
Almena,WI,45.4149,-92.0384
Almo,KY,36.6923,-88.2929
Almond,NY,42.316,-77.778
Almond,WI,44.2607,-89.4087
Almont,CO,38.82,-106.6603
Almont,MI,42.9206,-83.0434
Alondra Park,CA,33.8885,-118.3350
Alpaugh,CA,35.8890,-119.4858
Alpena,AR,36.2897,-93.3037
Alpena,MI,45.0740,-83.4402
Alpha,KY,36.7824,-85.0275
Alpharetta,GA,34.0704,-84.2738
Alpine,AZ,33.8461,-109.1433
Alpine,CA,32.8439,-116.7585
Alpine,NJ,40.9616,-73.9198
Alpine,TN,36.3803,-85.1522
Alpine,TX,30.3640,-103.6650
Alpine,UT,40.4629,-111.7724
Alpine,WY,43.1646,-111.0200
Alplaus,NY,42.8573,-73.9002
Alsea,OR,44.3815,-123.5958
Alsip,IL,41.6701,-87.7368
Alstead,NH,43.1265,-72.3281
Alston,GA,32.0810,-82.4789
Alta,CA,39.2138,-120.8033
Alta,IA,42.6717,-95.3045
Alta,UT,40.5818,-111.6229
Alta,WY,43.7737,-111.0312
Alta Vista,IA,43.1967,-92.4170
Alta Vista,KS,38.8628,-96.4888
Altadena,CA,34.1927,-118.1346
Altamont,IL,39.0566,-88.7477
Altamont,KS,37.1875,-95.2898
Altamont,MO,39.8886,-94.0866
Altamont,NY,42.7056,-74.0340
Altamont,TN,35.4325,-85.7433
Altamonte Springs,FL,28.6615,-81.3953
Altavista,VA,37.1235,-79.2856
Altenburg,MO,37.6304,-89.5860
Altha,FL,30.5721,-85.1263
Altmar,NY,43.5110,-76.0037
Alto,GA,34.4649,-83.5727
Alto,NM,33.4314,-105.6776
Alto,TX,31.6509,-95.0708
Alto Pass,IL,37.5737,-89.3192
Alton,IA,42.9876,-96.0094
Alton,IL,38.9037,-90.1520
Alton,MO,36.6901,-91.3947
Alton,NH,43.463,-71.2297
Alton,TX,26.2884,-98.3098
Alton,UT,37.4303,-112.5061
Altona,IL,41.1150,-90.1648
Altona,NY,44.8816,-73.6408
Altoona,AL,34.0308,-86.3179
Altoona,FL,28.9681,-81.6482
Altoona,IA,41.6483,-93.4783
Altoona,KS,37.5249,-95.6615
Altoona,PA,40.5082,-78.4007
Altoona,WI,44.8029,-91.4385
Altura,MN,44.0642,-91.9435
Alturas,CA,41.4898,-120.5516
Altus,OK,34.6565,-99.3061
Alum Bridge,WV,39.0425,-80.6882
Alum Creek,WV,38.2875,-81.8330
Alva,FL,26.7188,-81.6269
Alva,OK,36.7895,-98.6649
Alvada,OH,41.0463,-83.377
Alvarado,MN,48.1930,-96.9984
Alvarado,TX,32.4068,-97.2149
Alvaton,KY,36.863,-86.3632
Alvin,IL,40.3007,-87.608
Alvin,TX,29.3872,-95.2938
Alvo,NE,40.8723,-96.3865
Alvord,IA,43.3417,-96.3037
Alvord,TX,33.3569,-97.6960
Alvordton,OH,41.6646,-84.4347
Ama,LA,29.9440,-90.2967
Amado,AZ,31.6968,-111.0583
Amador City,CA,38.4191,-120.8233
Amagansett,NY,40.9841,-72.1329
Amalga,UT,41.8564,-111.8974
Amana,IA,41.8036,-91.8753
Amanda,OH,39.6501,-82.7414
Amarillo,TX,35.1984,-101.8316
Amazonia,MO,39.8888,-94.8927
Amber,OK,35.1602,-97.8820
Amberg,WI,45.5062,-87.9873
Amberley,OH,39.2035,-84.4283
Ambia,IN,40.4892,-87.5164
Ambler,PA,40.1564,-75.2215
Amboy,IL,41.7287,-89.3685
Amboy,IN,40.6017,-85.9272
Amboy,MN,43.8880,-94.1584
Amboy,WA,45.9122,-122.4796
Ambridge,PA,40.5921,-80.2265
Ambrose,GA,31.5945,-83.0137
Amelia,OH,39.0269,-84.2218
Amelia Court House,VA,37.3367,-77.9882
American Canyon,CA,38.1796,-122.2583
American Falls,ID,42.7828,-112.8541
American Fork,UT,40.3783,-111.7953
Americus,GA,32.0736,-84.2248
Americus,KS,38.5066,-96.2615
Amery,WI,45.3045,-92.3635
Ames,IA,42.0256,-93.6217
Ames,NE,41.4491,-96.6263
Ames,OK,36.2470,-98.1861
Amesbury,MA,42.8559,-70.9367
Amesville,OH,39.4015,-81.9548
Amherst,MA,42.3845,-72.5132
Amherst,NE,40.8383,-99.2696
Amherst,NH,42.8569,-71.6075
Amherst,OH,41.4022,-82.2303
Amherst,TX,34.0120,-102.4147
Amherst,VA,37.5816,-79.0509
Amherst,WI,44.4475,-89.2832
Amherst Junction,WI,44.4687,-89.3167
Amherstdale,WV,37.7799,-81.8183
Amissville,VA,38.6842,-78.0168
Amite,LA,30.7266,-90.509
Amity,AR,34.2662,-93.4634
Amity,OR,45.1153,-123.2033
Amity,PA,40.0498,-80.1681
Amityville,NY,40.6696,-73.4156
Amma,WV,38.5687,-81.2657
Ammon,ID,43.4745,-111.9568
Amo,IN,39.6888,-86.6126
Amory,MS,33.9814,-88.4823
Amsterdam,NY,42.9420,-74.1906
Amsterdam,OH,40.4718,-80.9217
Anacoco,LA,31.2545,-93.3440
Anaconda,MT,46.0608,-113.0678
Anacortes,WA,48.4878,-122.6292
Anadarko,OK,35.0650,-98.2443
Anaheim,CA,33.8390,-117.8574
Anahuac,TX,29.7649,-94.6787
Anamosa,IA,42.1091,-91.2758
Anchor Point,AK,59.7703,-151.7052
Anchorage,AK,61.1508,-149.1091
Ancram,NY,42.0851,-73.6424
Ancramdale,NY,42.0381,-73.5819
Andale,KS,37.7916,-97.6276
Andalusia,AL,31.3102,-86.4781
Andalusia,IL,41.4372,-90.7165
Anderson,AL,34.9147,-87.2716
Anderson,CA,40.4497,-122.2950
Anderson,IN,40.0891,-85.6892
Anderson,MO,36.6532,-94.4441
Anderson,SC,34.5211,-82.6478
Anderson,TX,30.4871,-95.9899
Andersonville,GA,32.1965,-84.1454
Andersonville,TN,36.1970,-84.0330
Andover,CT,41.7332,-72.3767
Andover,KS,37.6873,-97.1352
Andover,MA,42.6472,-71.1842
Andover,MN,45.2571,-93.3265
Andover,NH,43.4287,-71.783
Andover,NJ,40.9614,-74.7524
Andover,NY,42.1575,-77.792
Andover,OH,41.6066,-80.5686
Andrew,IA,42.1532,-90.5922
Andrews,IN,40.8604,-85.6023
Andrews,NC,35.1994,-83.8262
Andrews,SC,33.4494,-79.5660
Andrews,TX,32.3207,-102.5520
Angel Fire,NM,36.3821,-105.2718
Angelica,NY,42.3263,-77.9947
Angels Camp,CA,38.071,-120.5722
Angelus Oaks,CA,34.1531,-116.9485
Angier,NC,35.5116,-78.7402
Angleton,TX,29.1721,-95.4293
Angola,IN,41.6433,-85.0050
Angola,NY,42.6379,-79.0295
Angora,MN,47.7577,-92.6413
Anguilla,MS,32.9719,-90.8284
Angus,TX,31.9976,-96.4270
Angwin,CA,38.5776,-122.4513
Anita,IA,41.4437,-94.7660
Aniwa,WI,45.0117,-89.2089
Ankeny,IA,41.7288,-93.6031
Anmoore,WV,39.2611,-80.2862
Ann Arbor,MI,42.2759,-83.7310
Anna,IL,37.4612,-89.2388
Anna,OH,40.3957,-84.1754
Anna,TX,33.3472,-96.5508
Anna Maria,FL,27.5297,-82.7339
Annada,MO,39.2622,-90.8287
Annandale,MN,45.2599,-94.1205
Annandale,VA,38.8324,-77.1960
Annapolis,CA,38.7026,-123.3539
Annapolis,MD,38.9706,-76.5047
Annapolis,MO,37.3605,-90.6975
Annawan,IL,41.3958,-89.8882
Annetta,TX,32.6938,-97.6581
Annetta North,TX,32.7193,-97.6722
Annetta South,TX,32.6743,-97.6482
Anniston,AL,33.6712,-85.8135
Annville,KY,37.3254,-83.9621
Anoka,MN,45.2099,-93.3893
Ansley,NE,41.2863,-99.3825
Anson,ME,44.7831,-69.9309
Anson,TX,32.7550,-99.8963
Ansonia,CT,41.3443,-73.0689
Ansonia,OH,40.2141,-84.6344
Ansted,WV,38.1356,-81.1038
Anthem,AZ,33.8560,-112.1168
Anthon,IA,42.3881,-95.8656
Anthony,FL,29.3048,-82.1262
Anthony,KS,37.1588,-98.0418
Anthony,NM,32.0131,-106.5984
Anthony,TX,31.9876,-106.5933
Antigo,WI,45.1410,-89.1552
Antioch,CA,37.9787,-121.7960
Antioch,IL,42.4742,-88.0721
Antlers,OK,34.2329,-95.6229
Anton,TX,33.8113,-102.1622
Antonito,CO,37.0762,-106.0104
Antrim,NH,43.0595,-71.9387
Antwerp,NY,44.2358,-75.6005
Antwerp,OH,41.1798,-84.7377
Anza,CA,33.5678,-116.6966
Apache,OK,34.8937,-98.3584
Apache Junction,AZ,33.3985,-111.5350
Apalachicola,FL,29.7283,-84.9940
Apalachin,NY,42.0639,-76.1567
Apex,NC,35.7237,-78.8743
Aplington,IA,42.5819,-92.8835
Apollo,PA,40.5848,-79.5647
Apollo Beach,FL,27.7618,-82.4003
Apopka,FL,28.7015,-81.5316
Appalachia,VA,36.9098,-82.7882
Apple Creek,OH,40.7486,-81.8333
Apple Grove,WV,38.6663,-82.1706
Apple River,IL,42.5022,-90.0937
Apple Springs,TX,31.2269,-94.9812
Apple Valley,CA,34.5352,-117.2109
Apple Valley,MN,44.7457,-93.2004
Apple Valley,UT,37.0810,-113.1034
Applegate,CA,39.0007,-120.9924
Applegate,MI,43.3554,-82.6371
Appleton,MN,45.1998,-96.0225
Appleton,NY,43.3105,-78.6372
Appleton,WA,45.8504,-121.3129
Appleton,WI,44.2780,-88.3892
Appleton City,MO,38.1906,-94.0310
Appling,GA,33.5588,-82.3183
Appomattox,VA,37.3592,-78.8276
Aptos,CA,36.9912,-121.8934
Aquebogue,NY,40.9425,-72.6149
Aquilla,OH,41.5465,-81.1730
Aquilla,TX,31.8548,-97.2200
Arab,AL,34.3309,-86.4991
Arabi,GA,31.8282,-83.7302
Arabi,LA,29.9562,-89.9986
Aragon,GA,34.0458,-85.0570
Aransas Pass,TX,27.8876,-97.1136
Arapaho,OK,35.5778,-98.9592
Arapahoe,NE,40.3052,-99.8980
Ararat,NC,36.3859,-80.5895
Ararat,VA,36.6139,-80.5093
Arbovale,WV,38.4353,-79.8116
Arbuckle,CA,39.0141,-122.0610
Arbyrd,MO,36.0535,-90.2399
Arcade,GA,34.0693,-83.5399
Arcadia,CA,34.1342,-118.0373
Arcadia,FL,27.2215,-81.8585
Arcadia,IA,42.0862,-95.0432
Arcadia,IN,40.1742,-86.0211
Arcadia,LA,32.5506,-92.9218
Arcadia,MI,44.4927,-86.2362
Arcadia,MO,37.5864,-90.6292
Arcadia,NE,41.4249,-99.1261
Arcadia,OH,41.1079,-83.5147
Arcadia,WI,44.2486,-91.4916
Arcanum,OH,39.9923,-84.5543
Arcata,CA,40.8615,-124.0758
Arch Cape,OR,45.8109,-123.963
Archbald,PA,41.5077,-75.5453
Archbold,OH,41.5166,-84.3039
Archdale,NC,35.9032,-79.9591
Archer,FL,29.5400,-82.5186
Archer,IA,43.1150,-95.7442
Archer City,TX,33.5938,-98.6256
Archie,MO,38.4809,-94.3510
Arcola,IL,39.6833,-88.3013
Arcola,MO,37.5493,-93.8753
Arcola,TX,29.5032,-95.4693
Arden,DE,39.8114,-75.4886
Arden,NC,35.4637,-82.5354
Arden Hills,MN,45.0721,-93.1670
Arden-Arcade,CA,38.6017,-121.3845
Ardencroft,DE,39.8056,-75.4862
Ardentown,DE,39.8083,-75.4809
Ardmore,AL,34.9847,-86.8373
Ardmore,OK,34.1949,-97.1256
Ardmore,PA,40.0033,-75.2947
Ardmore,TN,35.0031,-86.8548
Ardsley,NY,41.0134,-73.8394
Arena,WI,43.1636,-89.9103
Arenas Valley,NM,32.7765,-108.2030
Arenzville,IL,39.8805,-90.3706
Argenta,IL,39.9855,-88.8197
Argentine,MI,42.7905,-83.8356
Argillite,KY,38.4322,-82.8094
Argonia,KS,37.2679,-97.7629
Argonne,WI,45.6582,-88.8777
Argos,IN,41.2379,-86.2523
Argusville,ND,47.0501,-96.9431
Argyle,IA,40.5359,-91.5678
Argyle,MO,38.2953,-92.0255
Argyle,NY,43.2381,-73.4641
Argyle,TX,33.1102,-97.1867
Argyle,WI,42.7014,-89.8657
Ariel,WA,45.9952,-122.4677
Aristes,PA,40.8156,-76.3395
Ariton,AL,31.5978,-85.7131
Arkadelphia,AR,34.1253,-93.0729
Arkansas City,KS,37.0726,-97.0385
Arkansaw,WI,44.6334,-92.0220
Arkdale,WI,44.0253,-89.8861
Arkoma,OK,35.3374,-94.4438
Arkport,NY,42.3926,-77.6955
Arlee,MT,47.1678,-114.0838
Arley,AL,34.0885,-87.2075
Arlington,AZ,33.3346,-112.7747
Arlington,GA,31.4383,-84.7253
Arlington,IA,42.7488,-91.6710
Arlington,IN,39.6458,-85.5797
Arlington,KS,37.8962,-98.1780
Arlington,KY,36.7904,-89.0132
Arlington,MA,42.4162,-71.1752
Arlington,MN,44.6083,-94.0768
Arlington,NE,41.4548,-96.3565
Arlington,OH,40.8937,-83.6529
Arlington,OR,45.7207,-120.1887
Arlington,SD,44.3635,-97.1338
Arlington,TN,35.2594,-89.6680
Arlington,TX,32.6998,-97.1250
Arlington,VA,38.8786,-77.1011
Arlington,VT,43.0857,-73.1594
Arlington,WA,48.1701,-122.1442
Arlington,WI,43.3351,-89.3726
Arlington Heights,IL,42.0955,-87.9826
Arlington Heights,OH,39.2154,-84.4556
Arma,KS,37.5429,-94.7023
Armada,MI,42.8424,-82.8832
Armington,IL,40.3397,-89.3144
Armona,CA,36.3166,-119.7054
Armonk,NY,41.1319,-73.7138
Armstrong,IA,43.3944,-94.4836
Armstrong,IL,40.2175,-87.8943
Armstrong,MO,39.2692,-92.7042
Armstrong Creek,WI,45.6726,-88.4908
Armuchee,GA,34.4411,-85.1843
Arnaudville,LA,30.4023,-91.9320
Arnegard,ND,47.8084,-103.4388
Arnett,OK,36.1345,-99.7727
Arnold,CA,38.2465,-120.3479
Arnold,MD,39.0437,-76.4974
Arnold,MO,38.4297,-90.3733
Arnold,NE,41.4231,-100.1936
Arnold,PA,40.5788,-79.7655
Arnolds Park,IA,43.3602,-95.1264
Arnoldsburg,WV,38.8227,-81.1551
Arnoldsville,GA,33.9103,-83.2180
Aroda,VA,38.3256,-78.2366
Aromas,CA,36.8771,-121.6404
Arp,TX,32.2279,-95.0534
Arpin,WI,44.5394,-90.0315
Arrington,TN,35.8566,-86.6633
Arrington,VA,37.6744,-78.8928
Arrowsmith,IL,40.4493,-88.6321
Arroyo Grande,CA,35.1241,-120.5845
Arroyo Seco,NM,36.5215,-105.5861
Artesia,CA,33.8676,-118.0805
Artesia,NM,32.8497,-104.4268
Arthur,IL,39.7144,-88.4696
Arthur City,TX,33.8643,-95.6111
Artie,WV,37.94,-81.3545
Arvada,CO,39.8320,-105.1510
Arvin,CA,35.1944,-118.8306
Ary,KY,37.3638,-83.1546
Asbury,IA,42.5120,-90.7802
Asbury,MO,37.2729,-94.6052
Asbury,NJ,40.7003,-75.0121
Asbury Lake,FL,30.0472,-81.7853
Asbury Park,NJ,40.2226,-74.0119
Ash,NC,34.0659,-78.5056
Ash Flat,AR,36.2365,-91.6067
Ash Fork,AZ,35.2171,-112.4913
Ash Grove,MO,37.3176,-93.5809
Asharoken,NY,40.9381,-73.3816
Ashburn,GA,31.7096,-83.6528
Ashburn,VA,39.0277,-77.4714
Ashburnham,MA,42.6496,-71.9267
Ashby,MA,42.6745,-71.8174
Ashby,MN,46.0931,-95.8154
Ashcamp,KY,37.2589,-82.4613
Ashdown,AR,33.6746,-94.1265
Asheboro,NC,35.7158,-79.8127
Asher,OK,34.9884,-96.9254
Asherton,TX,28.4461,-99.7604
Asheville,NC,35.5707,-82.5537
Ashfield,MA,42.5232,-72.811
Ashford,AL,31.1858,-85.2359
Ashford,CT,41.889,-72.1476
Ashford,WA,46.7551,-122.0143
Ashkum,IL,40.8783,-87.9533
Ashland,AL,33.2703,-85.8337
Ashland,IL,39.8886,-90.0078
Ashland,KS,37.1867,-99.7697
Ashland,KY,38.4592,-82.6448
Ashland,MA,42.2539,-71.4583
Ashland,MO,38.7927,-92.2479
Ashland,MS,34.8341,-89.1778
Ashland,NE,41.0396,-96.3723
Ashland,NH,43.7034,-71.6121
Ashland,OH,40.8668,-82.3156
Ashland,OR,42.1905,-122.6992
Ashland,PA,40.7811,-76.3451
Ashland,VA,37.7597,-77.4716
Ashland,WI,46.5799,-90.8713
Ashland City,TN,36.2607,-87.0412
Ashley,IL,38.3288,-89.1893
Ashley,IN,41.5215,-85.0614
Ashley,MI,43.1873,-84.4762
Ashley,OH,40.4098,-82.9516
Ashley,PA,41.2128,-75.8993
Ashmore,IL,39.5306,-88.0201
Ashtabula,OH,41.8805,-80.7984
Ashton,IA,43.3087,-95.7924
Ashton,ID,44.0734,-111.4482
Ashton,IL,41.8682,-89.2225
Ashton,MD,39.151,-76.9924
Ashton,NE,41.2477,-98.7950
Ashton,WV,38.6032,-82.1123
